"Spectrum","Time","AIC"
0,419.99999328,26988.26218705851
1,420.09998688,28318.13684175992
2,420.19998048,29841.23736969487
3,420.29997408,31504.98167645917
4,420.39996768,33274.58529391607
5,420.49996128,35124.91262409721
6,420.59995488,38406.05072386882
7,420.69994848,41899.17020852815
8,420.79994208,45589.20739982415
9,420.89993568,49456.71555599233
10,420.99992928,53470.16651048284
11,421.09992288,57582.77284240785
12,421.19991648,61573.35481074289
13,421.29991008,65381.62408048304
14,421.39990368,68950.19337412334
15,421.49989728,72225.35975549763
16,421.59989088,75157.74497013279
17,421.69988448,77709.48743127458
18,421.79987808,79844.84040883523
19,421.89987168,81535.33917250759
20,421.99986528,82761.72654726595
21,422.09985888,83529.90368878465
22,422.19985248,83877.70965563694
23,422.29984608,83848.74399191719
24,422.39983968,83487.90707832275
25,422.49983328,82839.49207061848
26,422.59982688,81947.46579881637
27,422.69982048,80854.87910695962
28,422.79981408,79603.30256781349
29,422.89980768,78232.26203117486
30,422.99980128,76778.5661851677
31,423.09979488,75275.18531869444
32,423.19978848,73743.14740898035
33,423.29978208,72188.06956033416
34,423.39977568,70613.29029160425
35,423.49976928,69023.40798338795
36,423.59976288,67425.3796691684
37,423.69975648,65826.13854284264
38,423.79975008,64232.37730473883
39,423.89974368,62650.47969837493
40,423.99973728,61086.48219983081
41,424.09973088,59546.04070832312
42,424.19972448,58034.39345911465
43,424.29971808,56556.31152046654
44,424.39971168,55116.0226812379
45,424.49970528,53717.05973486206
46,424.59969888,52361.26998394995
47,424.69969248,51048.60441658785
48,424.79968608,49778.4992717223
49,424.89967968,48550.10137491538
50,424.99967328,47362.37717807407
51,425.09966688,46214.17910541935
52,425.19966048,45104.29012386478
53,425.29965408,44031.4547746819
54,425.39964768,42994.40175909058
55,425.49964128,41991.86030149303
56,425.59963488,41029.61436608963
57,425.69962848,40109.04268950527
58,425.79962208,39232.14245292862
59,425.89961568,38401.56929338961
60,425.99960928,37620.66087045197
61,426.09960288,36893.44313158447
62,426.19959648,36224.62022960916
63,426.29959008,35619.5486410615
64,426.39958368,35084.19700189607
65,426.49957728,34625.09374340274
66,426.59957088,34249.26442631628
67,426.69956448,33950.07659584909
68,426.79955808,33730.1010959518
69,426.89955168,33590.99733813834
70,426.99954528,33533.36068101081
71,427.09953888,33556.6003265073
72,427.19953248,33658.85107072538
73,427.29952608,33836.91954232893
74,427.39951968,34086.26496055122
75,427.49951328,34401.01254821059
76,427.59950688,34773.99635037657
77,427.69950048,35196.828504678
78,427.79949408,35667.03265037067
79,427.89948768,36176.6840595078
80,427.99948128,36717.54976221307
81,428.09947488,37281.25624563293
82,428.19946848,37859.44770055163
83,428.29946208,38443.93063248472
84,428.39945568,39026.80200914005
85,428.49944928,39600.55900196119
86,428.59944288,40158.18949570772
87,428.69943648,40693.24369377574
88,428.79943008,41199.88704020616
89,428.89942368,41672.93608071737
90,428.99941728,42107.87894560361
91,429.09941088,42500.88201832731
92,429.19940448,42848.78542272868
93,429.29939808,43149.09081335542
94,429.39939168,43399.94986833607
95,429.49938528,43600.12092452691
96,429.59937888,43748.91329074596
97,429.69937248,43846.13620106414
98,429.79936608,43892.04764789256
99,429.89935968,43887.30304606687
100,429.99935328,43832.90420251474
101,430.09934688,43730.14866421375
102,430.19934048,43580.57985041464
103,430.29933408,43385.93738575873
104,430.39932768,43148.10467847504
105,430.49932128,43326.34736757118
106,430.59931488,44323.50923035941
107,430.69930848,46643.65862489742
108,430.79930208,50860.63393634633
109,430.89929568,57589.63587291099
110,430.99928928,67464.42850942745
111,431.09928288,81120.20669627812
112,431.19927648,99181.28389233629
113,431.29927008,122252.572657068
114,431.39926368,150913.9223239412
115,431.49925728,185716.5612638973
116,431.59925088,226266.440638545
117,431.69924448,272250.8158744373
