"Spectrum","Time","TIC"
0,419.99999328,2291654.672223649
1,420.09998688,2289645.413980842
2,420.19998048,2287449.654205246
3,420.29997408,2285395.61176666
4,420.39996768,2283643.310135766
5,420.49996128,2282177.029598088
6,420.59995488,2279161.880893526
7,420.69994848,2276417.513733658
8,420.79994208,2274064.466194792
9,420.89993568,2272143.550869383
10,420.99992928,2270550.504075317
11,421.09992288,2269177.143025497
12,421.19991648,2268462.680049059
13,421.29991008,2268245.795997475
14,421.39990368,2268278.510667099
15,421.49989728,2268284.752268782
16,421.59989088,2268084.103451469
17,421.69988448,2267631.308618294
18,421.79987808,2266902.600843094
19,421.89987168,2265808.089367432
20,421.99986528,2264291.358133108
21,422.09985888,2262427.261694858
22,422.19985248,2260316.076729243
23,422.29984608,2258013.728587002
24,422.39983968,2255437.852364766
25,422.49983328,2252480.645109049
26,422.59982688,2249186.983660802
27,422.69982048,2245727.790483469
28,422.79981408,2242296.931648783
29,422.89980768,2238997.353913515
30,422.99980128,2235792.522142016
31,423.09979488,2232529.802486137
32,423.19978848,2228945.685790578
33,423.29978208,2224787.221576404
34,423.39977568,2219976.364012399
35,423.49976928,2214696.677565752
36,423.59976288,2209230.360426167
37,423.69975648,2203706.968052743
38,423.79975008,2198073.599016502
39,423.89974368,2192149.344001741
40,423.99973728,2185807.286079523
41,424.09973088,2179114.215895862
42,424.19972448,2172331.429298241
43,424.29971808,2165823.126336786
44,424.39971168,2159907.473186942
45,424.49970528,2154677.666953411
46,424.59969888,2150001.84781169
47,424.69969248,2145700.428962523
48,424.79968608,2141700.467829117
49,424.89967968,2138024.610091353
50,424.99967328,2134778.0656328
51,425.09966688,2132005.544663835
52,425.19966048,2129624.109163589
53,425.29965408,2127452.974293435
54,425.39964768,2125291.075078577
55,425.49964128,2123019.36956708
56,425.59963488,2120686.820447334
57,425.69962848,2118443.765924825
58,425.79962208,2116414.746716798
59,425.89961568,2114625.837714391
60,425.99960928,2113014.261973785
61,426.09960288,2111435.118438997
62,426.19959648,2109769.595165564
63,426.29959008,2108014.310098612
64,426.39958368,2106231.247202627
65,426.49957728,2104509.755050224
66,426.59957088,2102882.24892645
67,426.69956448,2101246.955511115
68,426.79955808,2099422.549964457
69,426.89955168,2097249.564485272
70,426.99954528,2094668.191716469
71,427.09953888,2091789.030619141
