Name,R.T. (min),Similarity,Formula,Area,Peak S/N,Base Mass,Area_percent,SMILES,PubChem_CID,Mol,Antioxidant,Antimicrobial,Cytotoxic,FP,Cluster,is_antioxidant,is_antimicrobial,is_cytotoxic
D-Limonene,7.69964,874.0,C10H16,2456632,408,68.1,0.2815235017808284,CC1=CCC(CC1)C(=C)C,440917.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6e500>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a893f0>,29,False,True,False
a-Phellandrene,8.19284,651.0,C10H16,1014243,125,93.1,0.11622955372098578,CC1=CCC(C=C1)C(C)C,7460.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995c9d5b0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a89690>,33,False,True,False
Dihydro-3-methylene-5-methyl-2-furanone,8.59638,875.0,C6H8O2,6236537,1411,68.06,0.71469057442291,CC1CC(=C)C(=O)O1,99939.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6e650>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a89850>,35,False,True,False
"Bicyclo[2.2.1]heptane, 7,7-dimethyl-2-methylene-",8.97862,619.0,C10H16,228019,23,93.1,0.026130371725420296,CC1(C2CCC1C(=C)C2)C,28930.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6eab0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a89bd0>,41,False,True,False
"Benzene, (methylenecyclopropyl)-",9.84003,680.0,C10H10,56786,14,128.09,0.006507524762408909,C=C1CC1C2=CC=CC=C2,141510.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6ef80>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8a0a0>,48,False,True,False
Dehydromevalonic lactone,10.1145,909.0,C6H8O2,3267163,471,82.07,0.3744082014110199,CC1=CC(=O)OCC1,557445.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6f220>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8a340>,52,False,True,False
Terpinen-4-ol,10.2829,901.0,C10H18O,11257359,1617,71.09,1.2900634390840486,CC1=CCC(CC1)(C(C)C)O,11230.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6f290>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8a3b0>,53,True,True,False
"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",11.3645,613.0,C7H9NO2,157959,41,67.1,0.01810168182202213,CCC1=C(C(=O)NC1=O)C,29995.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6fb50>,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8ac00>,66,False,True,True
"2,6-Octadiene-4,5-diol, 3,6-dimethyl-",11.3749,627.0,C10H18O2,1048848,321,85.06,0.12019519480158944,CC=C(C)C(C(C(=CC)C)O)O,5362856.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6fbc0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8ac70>,67,True,True,False
"2-Methylbenzoic acid, 2,4-dichloronaphthyl-1 ester",11.7396,714.0,C18H12Cl2O2,211049,27,119.11,0.02418565480191663,CC1=CC=CC=C1C(=O)OC2=C(C=C(C3=CC=CC=C32)Cl)Cl,91710400.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6f300>,True,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8aea0>,71,False,True,False
trans-3(10)-Caren-2-ol,12.1494,755.0,C10H16O,1372567,249,71.09,0.15729253232425788,CC1(C2C1C(C(=C)CC2)O)C,572861.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84200>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b290>,78,True,True,False
"2-Methyl-5-(propan-2-ylidene)cyclohexane-1,4-diol",12.3686,815.0,C10H18O2,1699585,393,74.07,0.19476792648397043,CC1CC(C(=C(C)C)CC1O)O,91697160.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a843c0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b450>,81,True,True,False
"2-Butenal, 2-methyl-",12.6507,642.0,C5H8O,268135,33,84.05,0.03072755876745171,CC=C(C)C=O,5321950.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84660>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b6f0>,85,False,True,False
"2H-Pyran-2-one, 5,6-dihydro-4,6,6-trimethyl-",13.5049,624.0,C8H12O2,427338,182,82.07,0.04897179968510369,CC1=CC(=O)OC(C1)(C)C,247461.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84c10>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8bca0>,93,False,True,False
2-Methyl-6-methyleneoct-7-en-3-one,14.4676,726.0,C10H16O,580859,74,71.09,0.06656489849554602,CC(C)C(=O)CCC(=C)C=C,85845089.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a85150>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a94270>,102,False,True,False
"2(4H)-Benzofuranone, 5,6,7,7a-tetrahydro-4,4,7a-trimethyl-, (R)-",15.2499,813.0,C11H16O2,397434,118,111.07,0.04554488071748709,CC1(CCCC2(C1=CC(=O)O2)C)C,6432173.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a85770>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a94890>,111,False,True,False
"Nonane, 2,8-dimethyl-4-methylene-",16.754,676.0,C12H24,138629,21,83.12,0.015886515167259266,CC(C)CCCC(=C)CC(C)C,544668.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a86030>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a95150>,123,False,True,False
"Cyclohexene, 1,5,5-trimethyl-6-(2-propenylidene)-",16.8408,617.0,C12H18,324266,39,45.07,0.03716002226970182,CC1=CCCC(C1=CC=C)(C)C,5372935.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a860a0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a951c0>,124,False,True,False
