Name,R.T. (min),Similarity,Formula,Area,Peak S/N,Base Mass,Area_percent,SMILES,PubChem_CID,Mol,Antioxidant,Antimicrobial,Cytotoxic,FP,Cluster,is_antioxidant,is_antimicrobial,is_cytotoxic
Butanoic acid,7.03282,804.0,C4H8O2,814602,155,60.06,0.09335122541661363,CCCC(=O)O,264.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995c9e1f0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995bd2c70>,0,True,False,False
Hexanoic acid,7.23687,912.0,C6H12O2,62330432,3442,60.06,7.142901942233026,CCCCCC(=O)O,8892.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995c9dc40>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a89230>,0,True,False,False
"1,3-Dioxolane-2-methanol",7.24332,786.0,C4H8O3,2744983,72,73.06,0.31456776044960894,C1COC(O1)CO,294864.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995c9d620>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a892a0>,27,True,False,False
Benzyl alcohol,8.07814,879.0,C7H8O,4435444,378,79.09,0.5082901007691687,C1=CC=C(C=C1)CO,244.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6e6c0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a89540>,32,True,False,False
2-Nonanone,8.71488,869.0,C9H18O,1201519,246,58.08,0.13769088586984096,CCCCCCCC(=O)C,13187.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6e960>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a898c0>,0,False,False,False
Phenylethyl Alcohol,9.32492,952.0,C8H10O,64556600,7911,91.08,7.398014881782957,C1=CC=C(C=C1)CCO,6054.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6ece0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a89e00>,15,True,False,False
Terpinen-4-ol,10.2829,901.0,C10H18O,11257359,1617,71.09,1.2900634390840486,CC1=CCC(CC1)(C(C)C)O,11230.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6f290>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8a3b0>,53,True,True,False
2-Heptanone,10.3559,798.0,C7H14O,287184,56,58.08,0.03291052356861973,CCCCCC(=O)C,8051.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6f370>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8a420>,0,False,False,False
"Phenol, 4-ethyl-",10.4117,782.0,C8H10O,1729145,340,107.08,0.19815542396533567,CCC1=CC=C(C=C1)O,31242.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6f450>,True,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8a500>,55,True,False,False
"Ethanol, 2-phenoxy-",11.0722,867.0,C8H10O2,897577,232,94.07,0.1028599400145934,C1=CC=C(C=C1)OCCO,31236.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6f840>,True,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8a8f0>,17,True,False,False
3-Phenylpropanol,11.1529,907.0,C9H12O,3465885,570,91.08,0.3971812147564822,C1=CC=C(C=C1)CCCO,31234.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6f920>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8a9d0>,15,True,False,False
"Cyclohexanol, 1-ethenyl-",11.2312,671.0,C8H14O,323596,63,70.08,0.0370832420493867,C=CC1(CCCCC1)O,74741.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6fa70>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8ab20>,64,True,False,False
"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",11.3353,722.0,C11H10O6,362577,17,207.07,0.041550361106257434,COC(=O)C1=C(C=C(C=C1)C(=O)O)C(=O)OC,610016.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6fae0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8ab90>,65,True,False,False
"2,6-Octadiene-4,5-diol, 3,6-dimethyl-",11.3749,627.0,C10H18O2,1048848,321,85.06,0.12019519480158944,CC=C(C)C(C(C(=CC)C)O)O,5362856.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6fbc0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8ac70>,67,True,True,False
2-Methoxybenzyl alcohol,11.5959,835.0,C8H10O2,338287,99,77.07,0.03876679162647523,COC1=CC=CC=C1CO,69154.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6fd80>,True,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8ae30>,70,True,False,False
"Phenol, 4-ethyl-2-methoxy-",11.7563,860.0,C9H12O2,1754077,518,137.1,0.2010125649398079,CCC1=CC(=C(C=C1)O)OC,62465.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6fdf0>,True,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8af10>,72,True,False,False
"1,4-dihydroxy-p-menth-2-ene",12.0991,726.0,C10H18O2,405836,115,109.1,0.04650772759970735,CC(C)C1(CCC(C=C1)(C)O)O,300085.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84120>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b1b0>,76,True,False,False
trans-3(10)-Caren-2-ol,12.1494,755.0,C10H16O,1372567,249,71.09,0.15729253232425788,CC1(C2C1C(C(=C)CC2)O)C,572861.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84200>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b290>,78,True,True,False
"Bicyclo[2.2.1]heptan-2-ol, 6-tert-butyl-",12.3596,614.0,C11H20O,505029,141,55.09,0.057874981918687854,CC(C)(C)C1CC2CC1C(C2)O,549167.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84350>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b3e0>,80,True,False,False
"2-Methyl-5-(propan-2-ylidene)cyclohexane-1,4-diol",12.3686,815.0,C10H18O2,1699585,393,74.07,0.19476792648397043,CC1CC(C(=C(C)C)CC1O)O,91697160.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a843c0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b450>,81,True,True,False
"1,3-Diacetin",12.5621,814.0,C7H12O5,177836,46,103.07,0.020379533223818382,CC(=O)OCC(COC(=O)C)O,66924.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a845f0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b680>,84,True,False,False
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",12.7489,705.0,C16H30O4,1359012,233,71.09,0.1557391653296738,CC(C)C(C(C)(C)COC(=O)C(C)C)OC(=O)C(C)C,23284.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a846d0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b760>,20,False,False,False
Dasycarpidol,12.7897,602.0,C17H22N2O,17321,15,105.09,0.0019849405911612846,CCC1C2CCN(C1C3=C(C2O)NC4=CC=CC=C43)C,576461.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84740>,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b7d0>,86,True,False,False
"1,2-Cyclohexanediol, 1-methyl-4-(1-methylethyl)-",12.8601,817.0,C10H20O2,764792,137,71.09,0.08764313172423192,CC(C)C1CCC(C(C1)O)(C)O,36574.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a847b0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8b840>,87,True,False,False
"Propanoic acid, 2-methyl-, 3-hydroxy-2,2,4-trimethylpentyl ester",13.0469,880.0,C12H24O3,1511811,223,71.09,0.1732495248579258,CC(C)C(C(C)(C)COC(=O)C(C)C)O,6490.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a84970>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8ba00>,20,True,False,False
