Name,R.T. (min),Similarity,Formula,Area,Peak S/N,Base Mass,Area_percent,SMILES,PubChem_CID,Mol,Antioxidant,Antimicrobial,Cytotoxic,FP,Cluster,is_antioxidant,is_antimicrobial,is_cytotoxic
Butanoic acid,7.03282,804.0,C4H8O2,814602,155,60.06,0.09335122541661363,CCCC(=O)O,264.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995c9e1f0>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995bd2c70>,0,True,False,False
"1,2-Hydrazinedicarboxaldehyde",7.05605,722.0,C2H4N2O2,814602,36,60.06,0.09335122541661363,C(=O)NNC=O,12342.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995c9e110>,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a89070>,26,False,False,True
Hexanoic acid,7.23687,912.0,C6H12O2,62330432,3442,60.06,7.142901942233026,CCCCCC(=O)O,8892.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995c9dc40>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a89230>,0,True,False,False
2-Nonanone,8.71488,869.0,C9H18O,1201519,246,58.08,0.13769088586984096,CCCCCCCC(=O)C,13187.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6e960>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a898c0>,0,False,False,False
"2-Azetidinone, 1-tert-butyl-3,3-dimethyl-4-phenyl-",8.76172,712.0,C15H21NO,225288,24,117.1,0.025817406379628396,CC1(C(N(C1=O)C(C)(C)C)C2=CC=CC=C2)C,583385.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6e260>,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a89930>,36,False,False,True
"Pyrrolidine-1-acetonitrile, 2,5-dioxo-",9.12531,607.0,C6H6N2O2,185806,56,56.1,0.021292874053536956,C1CC(=O)N(C1=O)CC#N,544954.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6ec00>,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a89d20>,43,False,False,True
Succinimide,9.67912,617.0,C4H5NO2,196696,67,56.1,0.022540839127016918,C1CC(=O)NC1=O,11439.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6eea0>,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a89fc0>,47,False,False,True
2-Heptanone,10.3559,798.0,C7H14O,287184,56,58.08,0.03291052356861973,CCCCCC(=O)C,8051.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6f370>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8a420>,0,False,False,False
"2-Oxetanone, 4-methylene-",10.8191,860.0,C4H4O2,293613,34,56.08,0.03364726989161355,C=C1CC(=O)O1,12661.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6f610>,False,False,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8a6c0>,58,False,False,True
"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",11.3645,613.0,C7H9NO2,157959,41,67.1,0.01810168182202213,CCC1=C(C(=O)NC1=O)C,29995.0,<rdkit.Chem.rdchem.Mol object at 0x7dd995a6fb50>,False,True,False,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7dd995a8ac00>,66,False,True,True
