Name,R.T. (min),Similarity,Formula,Area,Peak S/N,Base Mass
Butanoic acid,7.03282,804,C4H8O2,814602,155,60.06
"1,2-Hydrazinedicarboxaldehyde",7.05605,722,C2H4N2O2,814602,36,60.06
L-Glutamine tert-butyl ester,7.17222,682,C9H18N2O3,812714,23,44.07
Hexanoic acid,7.23687,912,C6H12O2,62330432,3442,60.06
"1,3-Dioxolane-2-methanol",7.24332,786,C4H8O3,2744983,72,73.06
"Propanoic acid, 2-methyl-, 3-methylbutyl ester",7.30671,812,C9H18O2,3350355,217,70.11
"Benzene, 1-methyl-3-(1-methylethyl)-",7.59482,884,C10H14,6908755,343,119.12
D-Limonene,7.69964,874,C10H16,2456632,408,68.10
Peak 9,7.76761,,,51451,23,44.03
Peak 10,7.814,,,510584,42,55.07
Peak 11,7.82922,,,31066,19,378.81
Peak 12,7.84099,,,27652,16,550.14
Peak 13,7.86941,,,48077,30,56.11
Peak 14,7.87245,,,40807,11,243.28
Peak 15,7.8796,,,21934,21,60.05
"1,3-Cyclohexanedione, 2,2,5,5-tetramethyl-",7.95651,621,C10H16O2,349454,32,83.07
Benzeneacetaldehyde,8.01326,849,C8H8O,5094950,641,91.08
Peak 18,8.02004,,,42395,13,103.03
Benzyl alcohol,8.07814,879,C7H8O,4435444,378,79.09
"Propanoic acid, 2-methyl-, ethyl ester",8.10057,761,C6H12O2,1420140,239,71.09
"Benzene, n-butyl-",8.17602,792,C10H14,3098399,335,91.08
a-Phellandrene,8.19284,651,C10H16,1014243,125,93.10
"Propanoic acid, 2-methyl-, ethyl ester",8.22134,812,C6H12O2,5867829,974,71.09
"Ethaneperoxoic acid, 1-cyano-4,4-dimethyl-1-phenylpentyl ester",8.40917,704,C16H21NO3,378450,22,105.06
Peak 25,8.42499,,,732778,18,71.11
"Butanoic acid, anhydride",8.42881,850,C8H14O3,465496,19,71.07
Dihydro-3-methylene-5-methyl-2-furanone,8.59638,875,C6H8O2,6236537,1411,68.06
Peak 28,8.69252,,,253108,27,68.09
2-Nonanone,8.71488,869,C9H18O,1201519,246,58.08
"2-Azetidinone, 1-tert-butyl-3,3-dimethyl-4-phenyl-",8.76172,712,C15H21NO,225288,24,117.10
"2,5-Dihydroxybenzaldehyde, 2TMS derivative",8.78919,673,C13H22O3Si2,728508,147,267.06
"Butanoic acid, (tetrahydro-2-furanyl)methyl ester",8.81337,710,C9H16O3,307944,15,71.07
"Cyanic acid, 1-methylethyl ester",8.91303,683,C4H7NO,650262,115,70.10
Ethyl 2-isocyanatopropionate,8.95011,812,C6H9NO3,2144354,88,70.11
Nonanal,8.95443,925,C9H18O,3047131,263,57.10
"Bicyclo[2.2.1]heptane, 7,7-dimethyl-2-methylene-",8.97862,619,C10H16,228019,23,93.10
"Propanoic acid, 2-methyl-, ethyl ester",9.03539,795,C6H12O2,700372,80,71.08
"2H-Pyran-2-one, tetrahydro-4-methyl-",9.07908,752,C6H10O2,890458,42,55.11
"Pyrrolidine-1-acetonitrile, 2,5-dioxo-",9.12531,607,C6H6N2O2,185806,56,56.10
"Silane, dimethyl(dimethyl(dimethyl(2-isopropylphenoxy)silyloxy)silyloxy)(2-isopropylphenoxy)-",9.29244,694,C24H40O4Si3,91766,37,341.09
Phenylethyl Alcohol,9.32492,952,C8H10O,64556600,7911,91.08
"Benzene, 4-ethenyl-1,2-dimethyl-",9.35677,800,C10H12,898904,166,117.10
Peak 43,9.39695,,,44481,14,253.12
"Cyclopentasiloxane, decamethyl-",9.40623,865,C10H30O5Si5,2042827,230,73.08
"1-Pentene, 4,4-dimethyl-1,3-diphenyl-1-(trimethylsilyloxy)-",9.54157,766,C22H30OSi,38335,12,281.19
Peak 46,9.62969,,,288143,37,71.09
Peak 47,9.66081,,,183729,39,83.08
Succinimide,9.67912,617,C4H5NO2,196696,67,56.10
"Propanoic acid, 2-methyl-, propyl ester",9.76674,842,C7H14O2,242917,31,89.09
"Disulfide, bis(3-fluorobenzyl)",9.77807,613,C14H12F2S2,125778,25,109.12
"Benzene, (methylenecyclopropyl)-",9.84003,680,C10H10,56786,14,128.09
"Benzene, pentyl-",9.85914,901,C11H16,2035324,250,91.08
"1-Decene, 8-methyl-",9.87969,729,C11H22,198154,27,70.08
"1,4-Butanediamine",10.0115,638,C4H12N2,389381,91,71.08
"Propanoic acid, ethenyl ester",10.0279,910,C5H8O2,189324,16,57.07
"Benzoic acid, ethyl ester",10.0962,838,C9H10O2,257844,43,105.06
Dehydromevalonic lactone,10.1145,909,C6H8O2,3267163,471,82.07
Peak 58,10.2743,,,418832,46,44.03
Terpinen-4-ol,10.2829,901,C10H18O,11257359,1617,71.09
Peak 60,10.3404,,,206498,13,44.02
2-Heptanone,10.3559,798,C7H14O,287184,56,58.08
"2-Ethyl-6-phenyl-1,3,4-thiadiazolo(3,2-a)(1,3,5)-triazine-5,7-dione",10.3888,729,C12H10N4O2S,222227,25,119.08
"Phenol, 4-ethyl-",10.4117,782,C8H10O,1729145,340,107.08
Peak 64,10.4284,,,265276,34,135.12
Peak 65,10.4513,,,361414,17,60.07
"Octane, 2,7-dimethyl-",10.4816,808,C10H22,347698,35,57.11
Peak 67,10.5088,,,265815,18,59.09
Decanal,10.5859,859,C10H20O,246362,33,57.10
Peak 69,10.623,,,21203,12,133.02
Furfurylmethylamphetamine,10.7826,779,C15H19NO,347457,60,81.07
"2-Oxetanone, 4-methylene-",10.8191,860,C4H4O2,293613,34,56.08
"3,5-Diamino-1,2,4-triazole",10.8337,655,C2H5N5,90407,22,99.11
"5-Amino-1-methyl-1H-pyrazole-4-carboxamide, 3TMS",10.894,617,C14H32N4OSi3,87387,42,341.10
"Benzene, 1-pentenyl-",10.9233,821,C11H14,400751,78,117.10
"Cyclopentadecanone, 4-methyl-",10.9415,690,C16H30O,383988,118,71.09
"Thiophene, 2,3-dihydro-",11.0397,758,C4H6S,3605843,1071,85.06
"Ethanol, 2-phenoxy-",11.0722,867,C8H10O2,897577,232,94.07
Furan-3-ylethynyltrimethylsilane,11.1209,738,C9H12OSi,119092,41,149.13
Peak 79,11.1305,,,232513,29,59.09
3-Phenylpropanol,11.1529,907,C9H12O,3465885,570,91.08
1-Piperidinamine,11.1696,712,C5H12N2,1479671,461,100.08
3-Octanone,11.2148,656,C8H16O,192584,43,85.06
"Cyclohexanol, 1-ethenyl-",11.2312,671,C8H14O,323596,63,70.08
"1,2,4-Benzenetricarboxylic acid, 1,2-dimethyl ester",11.3353,722,C11H10O6,362577,17,207.07
"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",11.3645,613,C7H9NO2,157959,41,67.10
